Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Hasle Marina 23,3790 Hasle,2.200.000,22-01-2022,90 ,24.444,2006
Møllevej 8,4700 Næstved,4.001.000,13-01-2022,169 ,23.675,1907
Pilevej 5,3660 Stenløse,4.350.000,13-01-2022,177 ,24.576,1972
Hasselvej 10,4700 Næstved,1.935.000,13-01-2022,110 ,17.591,1952
Halmtorvet 29B 1. tv,1700 København V,1.207.560,13-01-2022,94 ,12.846,1908
Oberst Kochs Alle 32,2770 Kastrup,5.375.000,13-01-2022,106 ,50.708,1937
Hovmosevej 9,3400 Hillerød,6.575.000,13-01-2022,168 ,39.137,1970
Helligkorsvej 15A st. tv,4000 Roskilde,1.650.000,13-01-2022,62 ,26.613,1937
Kirstineshave 12,9280 Storvorde,1.283.500,13-01-2022,104 ,12.341,1965
Weysesgade 51,2100 København Ø,13.150.000,13-01-2022,136 ,96.691,1892
Bogensevej 15 2. 288,4700 Næstved,1.398.000,13-01-2022,105 ,13.314,1973
Hobrovej 386,8920 Randers NV,825.000,13-01-2022,137 ,6.022,1925
Solsortevej 16,9600 Aars,480.000,13-01-2022,192 ,2.500,1976
Grønnegården 309,2670 Greve,2.552.000,13-01-2022,96 ,26.583,1986
Nordhøjvej 7,4640 Faxe,1.105.000,13-01-2022,146 ,7.568,1880
Hf. Sønderbro 2,2791 Dragør,1.550.000,13-01-2022,50 ,31.000,2017
Benløseparken 9 1. th,4100 Ringsted,950.000,13-01-2022,61 ,15.574,1973
Gyldenlakvej 33 3. tv,2300 København S,2.050.000,13-01-2022,57 ,35.965,1938
Ths. Jensensvej 13,9493 Saltum,410.000,13-01-2022,66 ,6.212,1954
Georgsminde 22,8960 Randers SØ,1.980.000,13-01-2022,126 ,15.714,1980
Bastebrostræde 8,4800 Nykøbing F,180.000,13-01-2022,64 ,2.813,1800
Skovsgårdsvej 27,9370 Hals,1.645.000,13-01-2022,174 ,9.454,1998
Engdalen 13,3100 Hornbæk,2.475.000,13-01-2022,113 ,21.903,2011
Baune Alle 2 4. c,2800 Kongens Lyngby,4.995.000,13-01-2022,114 ,43.816,2010
Hyldehaven 82,6800 Varde,3.157.595,13-01-2022,173 ,18.252,2007
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,98 ,44.898,2012
Storkevej 6,3120 Dronningmølle,4.400.000,13-01-2022,25 ,176.000,2013
Thylandsvej 31,7700 Thisted,715.000,13-01-2022,142 ,5.035,1959
Espeløkforte 201,6200 Aabenraa,1.200.000,13-01-2022,80 ,15.000,1960
Stævnen 26 3. 1,7100 Vejle,1.920.000,13-01-2022,147 ,13.061,2018
Haslevvej 169,4100 Ringsted,1.795.000,12-01-2022,106 ,16.934,1935
Asåvej 38,9340 Asaa,1.290.976,12-01-2022,162 ,7.969,1927
Aalborgvej 14A,9492 Blokhus,3.100.000,12-01-2022,107 ,28.972,1947
Aalborgvej 14A 1,9492 Blokhus,3.100.000,12-01-2022,80 ,38.750,1947
Dalagervej 201,8700 Horsens,800.000,12-01-2022,137 ,5.839,1979
Strandvejen 329,9340 Asaa,827.792,12-01-2022,215 ,3.850,1993
Blårævevej 18,9370 Hals,175.000,12-01-2022,60 ,2.917,1974
Strandvejen 27A 1. tv,3300 Frederiksværk,1.000.000,12-01-2022,86 ,11.628,1927
Flensborggade 3 1. tv,1669 København V,1.500.000,12-01-2022,52 ,28.846,1896
Bøgeparken 3,4700 Næstved,1.900.000,12-01-2022,165 ,11.515,1961
Godtgemt 30,2880 Bagsværd,995.000,12-01-2022,38 ,26.184,1955
Drosselvej 8,4690 Haslev,2.695.000,12-01-2022,193 ,13.964,1953
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,334 ,1.198,1857
Mosegårdsvej 2,5471 Søndersø,400.000,12-01-2022,0 ,26.667,1994
Kirsebærvej 5,4300 Holbæk,1.700.000,12-01-2022,173 ,9.827,1967
Refshammer Havevej 4,7900 Nykøbing M,600.000,12-01-2022,72 ,8.333,1956
Ellevænget 50,4872 Idestrup,800.000,12-01-2022,49 ,16.327,1973
Brandisvej 17,7700 Thisted,875.000,12-01-2022,101 ,8.663,1994
Plantagevej 4,2670 Greve,4.695.000,12-01-2022,131 ,35.840,1976
Siriusvej 11,3370 Melby,1.495.000,12-01-2022,127 ,11.772,1964
Thulesvej 22,7000 Fredericia,1.000.000,12-01-2022,139 ,7.194,1972
Hovbygade 12,4640 Faxe,250.000,12-01-2022,217 ,1.152,1994
Burskovvej 51,9870 Sindal,11.133.860,12-01-2022,249 ,44.714,1898
Hesselbjergvej 16A,7323 Give,810.000,12-01-2022,234 ,3.462,1827
Maribovej 17 st. tv,2500 Valby,2.025.000,12-01-2022,55 ,36.818,1933
Skovbrynet 15,4140 Borup,2.750.000,12-01-2022,120 ,22.917,1973
Fasanvej 3,4683 Rønnede,1.100.000,12-01-2022,131 ,8.397,1969
Ådalsvænget 23,6710 Esbjerg V,1.775.000,12-01-2022,130 ,13.654,1977
Stakken 16,8751 Gedved,1.101.700,12-01-2022,168 ,6.558,0
Møltrupvej 55,7480 Vildbjerg,65.000,12-01-2022,104 ,625,1880
Ved Ovnhallen 3 1. tv,2500 Valby,4.800.000,12-01-2022,101 ,47.525,2007
Vejlevej 13,7300 Jelling,1.350.000,12-01-2022,107 ,9.643,1958
Niels Pedersensvej 10,7080 Børkop,1.500.000,12-01-2022,117 ,12.821,1947
Rævehaven 6,4573 Højby,1.360.000,12-01-2022,67 ,20.299,1966
Udlodden 14,4500 Nykøbing Sj,1.080.000,12-01-2022,72 ,15.000,1967
Abildgårdsvej 23,4440 Mørkøv,1.300.000,12-01-2022,136 ,9.559,1972
Søborg Hovedgade 55 2. th,2860 Søborg,4.150.000,12-01-2022,127 ,32.677,1917
Roskildevænget 29 st. th,4000 Roskilde,2.395.000,12-01-2022,76 ,31.513,1960
Bredevej 75,2830 Virum,6.150.000,12-01-2022,108 ,56.944,1944
Bagsværd Hovedgade 79 2. f,2880 Bagsværd,3.145.000,12-01-2022,95 ,33.105,1960
Plantagen Haslevgårde 3,9560 Hadsund,900.000,12-01-2022,96 ,9.375,1969
Flarumvej 8,9940 Læsø,820.000,12-01-2022,109 ,7.523,1972
Albertslundvej 113 st. tv,2625 Vallensbæk,1.950.000,12-01-2022,104 ,18.750,1964
Tulipanmarken 1A,2680 Solrød Strand,5.200.000,12-01-2022,149 ,34.899,1977
Kobberbæksvej 29 st. th,5700 Svendborg,575.000,11-01-2022,78 ,7.372,1940
Skolebakken 1,3200 Helsinge,2.725.000,11-01-2022,166 ,16.416,1973
Stibankevejen 28,4920 Søllested,15.000,11-01-2022,93 ,161,1954
Krakasvej 34,3630 Jægerspris,1.025.000,11-01-2022,66 ,15.530,1971
Kæhlersvej 15,4220 Korsør,577.770,11-01-2022,127 ,4.549,1923
Tingbækvej 7,3460 Birkerød,6.550.000,11-01-2022,367 ,17.847,1972
